rep,trafego,proto,ber,delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
6,500m,cubic,1000000,100000,20230911160506.458,10.0.1.20,5001,10.0.3.20,46996,4,0.0-6.1,81088,105517
6,500m,reno,100000,10000,20230911160517.040,10.0.1.20,5001,10.0.3.20,54918,4,0.0-5.9,3014656,4090776
6,500m,reno,100000,100000,20230911160529.306,10.0.1.20,5001,10.0.3.20,47284,4,0.0-6.2,23168,29761
6,500m,reno,1000000,10000,20230911160539.324,10.0.1.20,5001,10.0.3.20,37368,4,0.0-6.0,85652928,113959442
6,500m,reno,1000000,100000,20230911160550.971,10.0.1.20,5001,10.0.3.20,33850,4,0.0-6.3,28960,36825
6,750m,cubic,100000,10000,20230911160600.852,10.0.1.20,5001,10.0.3.20,49974,4,0.0-5.3,2097152,3156771
6,750m,cubic,100000,100000,20230911160612.893,10.0.1.20,5001,10.0.3.20,36896,4,0.0-6.0,89776,118960
6,750m,cubic,1000000,10000,20230911160622.904,10.0.1.20,5001,10.0.3.20,40324,4,0.0-5.1,10485760,16359026
6,750m,cubic,1000000,100000,20230911160635.162,10.0.1.20,5001,10.0.3.20,56590,4,0.0-6.0,91224,120670
6,750m,reno,100000,10000,20230911160646.016,10.0.1.20,5001,10.0.3.20,55466,4,0.0-6.0,4902928,6506956
6,750m,reno,100000,100000,20230911160657.406,10.0.1.20,5001,10.0.3.20,46926,4,0.0-6.1,53576,70490
6,750m,reno,1000000,10000,20230911160707.642,10.0.1.20,5001,10.0.3.20,42904,4,0.0-5.4,13762560,20362973
6,750m,reno,1000000,100000,20230911160719.742,10.0.1.20,5001,10.0.3.20,34488,4,0.0-6.2,63712,81835
7,500m,cubic,100000,10000,20230911160730.563,10.0.1.20,5001,10.0.3.20,45784,4,0.0-6.0,4952160,6572484
7,500m,cubic,100000,100000,20230911160741.948,10.0.1.20,5001,10.0.3.20,45102,4,0.0-6.1,53576,70650
7,500m,cubic,1000000,10000,20230911160752.020,10.0.1.20,5001,10.0.3.20,51714,4,0.0-5.2,8388608,12804730
7,500m,cubic,1000000,100000,20230911160804.252,10.0.1.20,5001,10.0.3.20,51828,4,0.0-6.2,49232,63983
7,500m,reno,100000,10000,20230911160814.345,10.0.1.20,5001,10.0.3.20,45658,4,0.0-5.4,2359296,3506262
7,500m,reno,100000,100000,20230911160827.389,10.0.1.20,5001,10.0.3.20,51252,4,0.0-6.1,36200,47696
